타사,149,62,27.93,과체중
바타,142,74,36.7,비만
바하,154,75,31.62,비만
카파,169,92,32.21,비만
아타,163,70,26.35,과체중
가카,191,58,15.9,저체중
나라,173,61,20.38,정상
사라,160,57,22.27,정상
아나,153,77,32.89,비만
사바,154,81,34.15,비만
하가,157,73,29.62,과체중
파타,195,44,11.57,저체중
자자,160,59,23.05,정상
다바,171,60,20.52,정상
나자,141,63,31.69,비만
타차,169,87,30.46,비만
하자,161,99,38.19,비만
나다,145,54,25.68,과체중
하파,150,94,41.78,비만
차바,162,88,33.53,비만
차자,183,86,25.68,과체중
차마,159,59,23.34,정상
마아,144,62,29.9,과체중
가나,170,58,20.07,정상
바라,189,53,14.84,저체중
사바,155,98,40.79,비만
아바,170,70,24.22,정상
자사,184,82,24.22,정상
라파,161,64,24.69,정상
타나,169,90,31.51,비만
파차,180,91,28.09,과체중
하아,147,45,20.82,정상
다아,182,87,26.26,과체중
가자,150,55,24.44,정상
다자,172,91,30.76,비만
사다,155,93,38.71,비만
마차,176,85,27.44,과체중
자마,170,89,30.8,비만
타아,143,81,39.61,비만
차하,180,82,25.31,과체중
마차,171,75,25.65,과체중
다타,169,71,24.86,정상
파바,154,40,16.87,저체중
차다,158,98,39.26,비만
카자,146,93,43.63,비만
나다,191,96,26.32,과체중
라자,184,63,18.61,정상
나카,175,49,16.0,저체중
마가,190,43,11.91,저체중
라하,191,49,13.43,저체중
하타,149,92,41.44,비만
가타,153,72,30.76,비만
자타,179,62,19.35,정상
나마,189,72,20.16,정상
아바,188,97,27.44,과체중
다카,179,72,22.47,정상
차하,158,75,30.04,비만
다타,185,88,25.71,과체중
파하,157,65,26.37,과체중
아아,174,98,32.37,비만
다마,145,44,20.93,정상
사라,176,92,29.7,과체중
카자,175,59,19.27,정상
파자,141,65,32.69,비만
다가,150,96,42.67,비만
하카,154,64,26.99,과체중
사다,177,92,29.37,과체중
라파,147,79,36.56,비만
바가,173,73,24.39,정상
차다,188,94,26.6,과체중
아라,172,86,29.07,과체중
자카,171,71,24.28,정상
나파,159,65,25.71,과체중
가차,170,48,16.61,저체중
라카,156,71,29.17,과체중
하카,147,76,35.17,비만
바타,185,84,24.54,정상
하다,196,85,22.13,정상
사마,166,85,30.85,비만
라하,176,43,13.88,저체중
파카,195,82,21.56,정상
바파,150,82,36.44,비만
차가,172,77,26.03,과체중
가나,199,49,12.37,저체중
카자,188,65,18.39,저체중
카가,153,87,37.17,비만
자차,141,57,28.67,과체중
라파,179,77,24.03,정상
자라,153,69,29.48,과체중
파카,149,42,18.92,정상
파카,197,76,19.58,정상
나파,194,56,14.88,저체중
타자,196,70,18.22,저체중
바라,170,79,27.34,과체중
마파,144,45,21.7,정상
아다,154,69,29.09,과체중
바아,158,50,20.03,정상
마바,199,40,10.1,저체중
차다,149,54,24.32,정상
카나,153,93,39.73,비만
다사,164,50,18.59,정상
가자,155,87,36.21,비만
하아,173,62,20.72,정상
자바,188,91,25.75,과체중
파사,160,87,33.98,비만
아차,141,83,41.75,비만
차사,174,63,20.81,정상
타다,177,74,23.62,정상
나나,159,65,25.71,과체중
다사,156,92,37.8,비만
카사,174,69,22.79,정상
자차,189,51,14.28,저체중
마바,175,85,27.76,과체중
자다,185,71,20.75,정상
아타,143,60,29.34,과체중
바카,169,62,21.71,정상
나파,162,81,30.86,비만
타마,178,77,24.3,정상
파하,199,68,17.17,저체중
하가,192,91,24.69,정상
사타,181,87,26.56,과체중
사라,189,91,25.48,과체중
라바,149,47,21.17,정상
타가,165,55,20.2,정상
나사,172,54,18.25,저체중
나차,157,67,27.18,과체중
아가,185,57,16.65,저체중
마자,175,65,21.22,정상
파라,150,74,32.89,비만
바카,172,93,31.44,비만
라가,154,95,40.06,비만
사타,143,76,37.17,비만
자아,152,96,41.55,비만
타자,180,85,26.23,과체중
사마,184,96,28.36,과체중
아하,146,57,26.74,과체중
다가,173,93,31.07,비만
바바,170,57,19.72,정상
카자,171,51,17.44,저체중
자카,152,92,39.82,비만
차마,146,85,39.88,비만
아사,179,44,13.73,저체중
파차,141,64,32.19,비만
사자,157,63,25.56,과체중
카파,156,42,17.26,저체중
라나,148,75,34.24,비만
사라,186,74,21.39,정상
마바,140,71,36.22,비만
사바,181,44,13.43,저체중
사다,185,84,24.54,정상
타다,192,78,21.16,정상
카하,147,96,44.43,비만
바차,183,85,25.38,과체중
차가,170,68,23.53,정상
자마,168,96,34.01,비만
라카,153,52,22.21,정상
차바,168,44,15.59,저체중
라차,182,90,27.17,과체중
하가,198,69,17.6,저체중
하차,189,99,27.71,과체중
가마,160,67,26.17,과체중
가하,144,57,27.49,과체중
가카,144,68,32.79,비만
다아,145,63,29.96,과체중
